"","TICKER_LIST","last_trade_price"
"723","CLB","27.71"
"724","CLF","22.36"
"725","CLH","106.1"
"726","CLI","19.66"
"727","CLM","14.32"
"728","CLR","46.13"
"729","CLS","11.01"
"730","CLW","38.59"
"731","CLX","163.26"
"732","CMA","87.55"
"733","CMC","33.78"
"734","CME","221.71"
"735","CMF","62.1"
"736","CMG","1794.35"
"737","CMI","237.07"
"738","CMP","72.5"
"739","CMS","60.52"
"740","CMT","10.62"
"741","CMU","4.51"
"742","CNA","45.85"
"743","CNC","74.17"
"744","CND","12.67"
"745","CNF","5.13"
"746","CNI","132.9"
"747","CNK","22.11"
"748","CNM","27.11"
"749","CNO","25.44"
"750","CNP","26.67"
"751","CNQ","43.57"
"752","CNR","15.47"
"753","CNS","100.45"
"754","CNX","14.92"
"755","COE","2.32"
"756","COF","154.87"
"757","COM","32.82"
"758","COO","424.22"
"759","COP","75.45"
"760","COR","153.78"
"761","COW","36.88"
"762","CPA","78.74"
"763","CPB","40.73"
"764","CPE","60.57"
"765","CPF","28.72"
"766","CPG","4.86"
"767","CPI","27.7274"
"768","CPK","135.44"
"769","CPS","21.78"
"770","CPT","161.38"
"771","CPZ","20.79"
"772","CQP","42.85"
"773","CRC","45.81"
"774","CRF","13.79"
"775","CRH","49.48"
"776","CRI","104.18"
"777","CRK","9.68"
"778","CRL","375.23"
"779","CRM","307.25"
"780","CRS","32.76"
"781","CRT","14.31"
"782","CRU","9.75"
"783","CRY","22.18"
"784","CSA","70.9849"
"785","CSB","62.7168"
"786","CSD","64.8206"
"787","CSF","65.93"
"788","CSL","233.27"
"789","CSM","108.487"
"790","CSQ","19.4"
"791","CSR","100.93"
"792","CSU","28.3"
"793","CSV","49"
"794","CSX","35.41"
"795","CTG","7.98"
"796","CTK","1.09"
"797","CTO","56.49"
"798","CTR","26.57"
"799","CTS","37.6"
"800","CTT","8.97"
"801","CUE","13.94"
"802","CUK","22.97"
"803","CUT","36.7052"
"804","CUZ","39.92"
"805","CVA","20.23"
"806","CVE","12.56"
"807","CVI","17.78"
"808","CVM","12.03"
"809","CVR","26.98"
"810","CVS","93.78"
"811","CVU","2.98"
"812","CVV","4.885"
"813","CVX","114.74"
"814","CVY","24.8303"
"815","CWB","89.14"
"816","CWH","41.04"
"817","CWI","30.23"
"818","CWK","19.98"
"819","CWS","50.0208"
"820","CWT","63.86"
"821","CXE","5.05"
"822","CXH","9.95"
"823","CXM","17.29"
"824","CXP","19.17"
"825","CXW","9.57"
"826","CYA","24.87"
"827","CYB","28.225"
"828","CYD","13"
"829","CYH","14.39"
"830","CYN","7.44"
"831","CYT","16.77"
"832","CZA","94.8885"
"833","CZR","106.48"
"834","DAC","70.84"
"835","DAL","44.29"
"836","DAN","23.58"
"837","DAO","12.47"
"838","DAR","84.8"
"839","DAT","43.6672"
"840","DAX","33.59"
"841","DBA","19.27"
"842","DBB","20.69"
"843","DBC","21.18"
"844","DBD","9.68"
"845","DBE","18.0592"
"846","DBI","14.96"
"847","DBL","19.46"
"848","DBO","14.86"
"849","DBP","49.2329"
"850","DBS","33.6278"
"851","DBV","25.5853"
"852","DBX","27.81"
"853","DCF","9.6201"
"854","DCI","61.42"
"855","DCO","53.64"
"856","DCP","29.52"
"857","DCT","30.36"
"858","DDD","32.34"
"859","DDF","11.38"
"860","DDG","14.5851"
"861","DDI","16.23"
"862","DDL","30"
"863","DDM","79.97"
"864","DDS","303"
"865","DDT","27.61"
"866","DEA","21.21"
"867","DEF","69.99"
"868","DEI","35.7"
"869","DEM","42.92"
"870","DEN","90.5"
"871","DEO","204.65"
"872","DES","33.6"
"873","DEW","48.8172"
"874","DEX","10.24"
"875","DFE","75.94"
"876","DFH","16.23"
"877","DFJ","75.3"
"878","DFP","28.66"
"879","DFS","116.47"
"880","DGL","52.1441"
"881","DGP","39.0549"
"882","DGS","52.48"
"883","DGT","114.84"
"884","DGX","140.55"
"885","DGZ","10.0847"
"886","DHC","3.57"
"887","DHF","3.33"
"888","DHI","92.5"
"889","DHR","292.08"
"890","DHS","80.19"
"891","DHT","6.27"
"892","DHX","5.12"
"893","DHY","2.53"
"894","DIA","363.3"
"895","DIG","85.02"
"896","DIM","68.87"
"897","DIN","93.43"
"898","DIS","175.63"
"899","DIT","128.05"
"900","DIV","20.49"
"901","DJD","44.5922"
"902","DJP","30"
"903","DKL","46.84"
"904","DKS","129.65"
"905","DLA","27.6"
"906","DLB","89.81"
"907","DLN","127.52"
"908","DLO","47.75"
"909","DLR","155.47"
"910","DLS","75.82"
"911","DLX","37.43"
"912","DLY","19.56"
"913","DMB","15.14"
"914","DMF","8.82"
"915","DMO","16"
"916","DMS","6.38"
"917","DNA","13.95"
"918","DNB","19.05"
"919","DNL","42.83"
"920","DNN","1.93"
"921","DNP","10.81"
"922","DNZ","9.75"
"923","DOC","18.83"
"924","DOG","31.935"
"925","DOL","49.6124"
"926","DON","44.77"
"927","DOO","41.7901"
